signature	gene	n_genes
D7_vs_D1_top100	PDLIM2	100
D7_vs_D1_top100	LOXL2	100
D7_vs_D1_top100	GPX8	100
D7_vs_D1_top100	MZT2B	100
D7_vs_D1_top100	CRIP1	100
D7_vs_D1_top100	CKAP4	100
D7_vs_D1_top100	LOXL1	100
D7_vs_D1_top100	COL5A3	100
D7_vs_D1_top100	RRBP1	100
D7_vs_D1_top100	FAP	100
D7_vs_D1_top100	ACTA2	100
D7_vs_D1_top100	CCDC80	100
D7_vs_D1_top100	MAGED2	100
D7_vs_D1_top100	MAGED1	100
D7_vs_D1_top100	PPIB	100
D7_vs_D1_top100	ETFB	100
D7_vs_D1_top100	OSTC	100
D7_vs_D1_top100	BEX3	100
D7_vs_D1_top100	SPHK1	100
D7_vs_D1_top100	COL6A1	100
D7_vs_D1_top100	MXRA8	100
D7_vs_D1_top100	LOX	100
D7_vs_D1_top100	VIM	100
D7_vs_D1_top100	HDLBP	100
D7_vs_D1_top100	HSPB1	100
D7_vs_D1_top100	MYH9	100
D7_vs_D1_top100	NUCB2	100
D7_vs_D1_top100	PPDPF	100
D7_vs_D1_top100	CTSZ	100
D7_vs_D1_top100	LMAN1	100
D7_vs_D1_top100	JUN	100
D7_vs_D1_top100	KDELR1	100
D7_vs_D1_top100	TTC3	100
D7_vs_D1_top100	RPL22L1	100
D7_vs_D1_top100	KDELR2	100
D7_vs_D1_top100	MFAP2	100
D7_vs_D1_top100	PDLIM7	100
D7_vs_D1_top100	COTL1	100
D7_vs_D1_top100	TPM4	100
D7_vs_D30_top100	C11orf96	100
D7_vs_D30_top100	NFKBIA	100
D7_vs_D30_top100	IER3	100
D7_vs_D30_top100	CEBPB	100
D7_vs_D30_top100	SOD2	100
D7_vs_D30_top100	YBX1	100
D7_vs_D30_top100	MT2A	100
D7_vs_D30_top100	CXCL2	100
D7_vs_D30_top100	PLIN2	100
D7_vs_D30_top100	VIM	100
D7_vs_D30_top100	PPP1R14B	100
D7_vs_D30_top100	CEBPD	100
D7_vs_D30_top100	PNRC1	100
D7_vs_D30_top100	ATP5F1D	100
D7_vs_D30_top100	JUNB	100
D7_vs_D30_top100	BTG1	100
D7_vs_D30_top100	RAC1	100
D7_vs_D30_top100	PTMS	100
D7_vs_D30_top100	RPS2	100
D7_vs_D30_top100	BRI3	100
D7_vs_D30_top100	PRELID1	100
D7_vs_D30_top100	CXCL1	100
D7_vs_D30_top100	CXCL3	100
D7_vs_D30_top100	MZT2B	100
D7_vs_D30_top100	SRSF9	100
D7_vs_D30_top100	CXCL8	100
D7_vs_D30_top100	TNFAIP3	100
D7_vs_D30_top100	CAVIN3	100
D7_vs_D30_top100	ANGPTL4	100
D7_vs_D30_top100	SNHG7	100
D7_vs_D30_top100	CST3	100
D7_vs_D30_top100	HSPD1	100
D7_vs_D30_top100	C1QBP	100
D7_vs_D30_top100	IGFBP7	100
D7_vs_D30_top100	KRT10	100
D7_vs_D30_top100	FTH1	100
D7_vs_D30_top100	TRAPPC5	100
D7_vs_D30_top100	PFN1	100
D7_vs_D30_top100	IGFBP4	100
D7_vs_D30_top100	NENF	100
D7_vs_D30_top100	TWIST1	100
D7_vs_D30_top100	WTAP	100
D7_vs_D30_top100	YBX3	100
D7_vs_D30_top100	IL6	100
D7_vs_D30_top100	H2AZ1	100
D7_vs_D30_top100	EVA1B	100
D7_vs_D30_top100	NOP53	100
D7_vs_D30_top100	TNFAIP2	100
D7_vs_D30_top100	LMNA	100
D7_vs_D30_top100	SERP1	100
D7_vs_D30_top100	UBE2S	100
D7_vs_D30_top100	SFPQ	100
D7_vs_D30_top100	BASP1	100
D7_vs_D30_top100	RTN4	100
D7_vs_D30_top100	MAP2K2	100
D7_vs_D30_top100	CCDC85B	100
D7_vs_D30_top100	PRRX2	100
D7_vs_D30_top100	TUBA1B	100
D7_vs_D30_top100	ITM2B	100
D7_vs_D30_top100	EIF4A3	100
D7_vs_D30_top100	NFKB1	100
D7_vs_D30_top100	ACBD3	100
D7_vs_D30_top100	DNAJA1	100
D7_vs_D30_top100	MT1E	100
D7_vs_D30_top100	ANP32B	100
D7_vs_D30_top100	PIM3	100
D7_vs_D30_top100	CFD	100
D7_vs_D30_top100	SRM	100
D7_vs_D30_top100	PLPP3	100
D7_vs_D30_top100	HNRNPD	100
D7_vs_D30_top100	HSP90AB1	100
D7_vs_D30_top100	JAK1	100
D7_vs_D30_top100	MTCH1	100
D7_vs_D30_top100	HSPH1	100
D7_vs_D30_top100	GADD45GIP1	100
D7_vs_D30_top100	CKS2	100
D7_vs_D30_top100	SPHK1	100
D7_vs_D30_top100	HNRNPA1	100
D7_vs_D30_top100	KTN1	100
D7_vs_D30_top100	CTSZ	100
D7_vs_D30_top100	NFE2L2	100
D7_vs_D30_top100	SQSTM1	100
D7_vs_D30_top100	SRSF2	100
D7_vs_D30_top100	HDGF	100
D7_vs_D30_top100	PDIA3	100
D7_vs_D30_top100	CLTA	100
D7_vs_D30_top100	RANBP1	100
D7_vs_D30_top100	CAVIN1	100
D7_vs_D30_top100	TAF10	100
D7_vs_D30_top100	EMILIN1	100
D7_vs_D30_top100	TMEM165	100
D7_vs_D30_top100	GLRX5	100
D7_vs_D30_top100	PTGS2	100
D7_vs_D30_top100	PPM1G	100
D7_vs_D30_top100	LDHA	100
D7_vs_D30_top100	PKM	100
D7_vs_D30_top100	SET	100
D7_vs_D30_top100	EIF5A	100
D7_vs_D30_top100	MTDH	100
D7_vs_D30_top100	NFKBIZ	100
D7D30_vs_D0_top100	POSTN	100
D7D30_vs_D0_top100	LUM	100
D7D30_vs_D0_top100	CTHRC1	100
D7D30_vs_D0_top100	COL1A1	100
D7D30_vs_D0_top100	THY1	100
D7D30_vs_D0_top100	COL3A1	100
D7D30_vs_D0_top100	COL5A2	100
D7D30_vs_D0_top100	SPARC	100
D7D30_vs_D0_top100	TNC	100
D7D30_vs_D0_top100	PPIB	100
D7D30_vs_D0_top100	MDK	100
D7D30_vs_D0_top100	COL1A2	100
D7D30_vs_D0_top100	PRDX4	100
D7D30_vs_D0_top100	GAPDH	100
D7D30_vs_D0_top100	ADAM12	100
D7D30_vs_D0_top100	LGALS1	100
D7D30_vs_D0_top100	FN1	100
D7D30_vs_D0_top100	ASPN	100
D7D30_vs_D0_top100	NME2	100
D7D30_vs_D0_top100	S100A11	100
D7D30_vs_D0_top100	HTRA1	100
D7D30_vs_D0_top100	TPM2	100
D7D30_vs_D0_top100	SERF2	100
D7D30_vs_D0_top100	COL6A3	100
D7D30_vs_D0_top100	BGN	100
D7D30_vs_D0_top100	ARPC1B	100
D7D30_vs_D0_top100	ACTB	100
D7D30_vs_D0_top100	P4HB	100
D7D30_vs_D0_top100	FAP	100
D7D30_vs_D0_top100	OSTC	100
D7D30_vs_D0_top100	RABAC1	100
D7D30_vs_D0_top100	MIF	100
D7D30_vs_D0_top100	PCOLCE	100
D7D30_vs_D0_top100	COL5A1	100
D7D30_vs_D0_top100	TAGLN	100
D7D30_vs_D0_top100	PPP1R14B	100
D7D30_vs_D0_top100	ACTG1	100
D7D30_vs_D0_top100	TIMP1	100
D7D30_vs_D0_top100	VKORC1	100
D7D30_vs_D0_top100	RCN3	100
D7D30_vs_D0_top100	SSR4	100
D7D30_vs_D0_top100	TMSB10	100
D7D30_vs_D0_top100	OST4	100
D7D30_vs_D0_top100	MFAP5	100
D7D30_vs_D0_top100	SEC61G	100
D7D30_vs_D0_top100	SSR3	100
D7D30_vs_D0_top100	ENO1	100
D7D30_vs_D0_top100	SEC61B	100
D7D30_vs_D0_top100	TMSB4X	100
D7D30_vs_D0_top100	S100A16	100
