query	query_gene_n	library	rank	term	p_value	z_score	combined_score	overlap_genes	adjusted_p_value
SRRS_all_modules	135	LINCS_L1000_Ligand_Perturbations_up	6	BFGF-HS578T	1.003669992974273e-07	10.88	175.32502425062566	IL11;TNFRSF12A;SPHK1;SERPINE1;TNC;COL6A3;TGFBI;INHBA;PTGS2;CKAP4	1.572416322326361e-06
SRRS_all_modules	135	LINCS_L1000_Ligand_Perturbations_down	2	EPG-MCF10A	1.1323949114063744e-07	10.730884353741496	171.62719828111108	EIF5A;TPM4;TNFRSF12A;ARPC1B;TNC;COTL1;PLOD2;TGFBI;IL6ST;ACTB	5.322256083609959e-06
SRRS_all_modules	135	Diabetes_Perturbations_GEO_2022	7	GSE59143 PregnantIsletGraft Mm Chip Islets Dn	1.2020423320539962e-07	10.657837837837837	169.82277249780049	FKBP11;FLT1;GSTP1;WNT5A;TNC;KDR;FN1;THBS1;ENG;SRM	6.353652326571122e-06
SRRS_all_modules	135	Diabetes_Perturbations_GEO_2022	8	GSE37248 FXR-Overexpression Mm Chip WAT Dn	1.889343747537985e-07	8.766655859944885	135.7241922184844	COL1A1;RCN3;TUBA1C;COL3A1;TPI1;LUM;SERPINE1;COL6A3;INHBA;ENO1;ITGA5	8.147890075269423e-06
SRRS_all_modules	135	Diabetes_Perturbations_GEO_2022	9	GSE134431 SkinvsUlcerHealer Hs DiabetFoot Dn	1.9819192074979675e-07	8.722379032258065	134.6214594720759	IL11;IL6;CXCL8;TNFRSF12A;TUBB3;CCL20;SERPINE1;MMP3;ADAM12;PTGS2;MMP10	8.147890075269423e-06
SRRS_all_modules	135	Diabetes_Perturbations_GEO_2022	10	GSE48009 IRKO Mm Chip MammaryAlveolars Dn	2.3836448419228176e-07	9.8525	150.24535281450503	COL1A1;TGFBR3;TUBA1C;TAGLN;POSTN;COL3A1;TPM2;PDPN;FN1;SRM	8.819485915114425e-06
SRRS_all_modules	135	LINCS_L1000_Ligand_Perturbations_up	7	BTC-HS578T	1.0298874479284637e-06	9.714285714285714	133.92173577390858	IL11;TNFRSF12A;CCL20;SERPINE1;TNC;PLOD2;TGFBI;INHBA;PTGS2	1.3829917157896512e-05
SRRS_all_modules	135	LINCS_L1000_Ligand_Perturbations_up	8	EPR-MCF10A	2.3422070363296367e-06	8.741792369121562	113.33224068447235	EIF5A;FKBP11;LDHB;TNFRSF12A;TNC;ENO1;CTSB;NME1;SRM	2.752093267687323e-05
SRRS_all_modules	135	LINCS_L1000_Ligand_Perturbations_down	3	IL4-MDAMB231	1.0298874479284637e-06	9.714285714285714	133.92173577390858	EIF5A;TGFBR3;TUBA1B;BAMBI;FN1;COL10A1;CALR;ACTB;PSMA7	3.226980670175853e-05
SRRS_all_modules	135	LINCS_L1000_Ligand_Perturbations_down	4	IL17-MCF7	1.4169308141629544e-06	9.325449385052034	125.5859893553199	LDHB;LGALS1;FAP;WNT5A;FN1;TGFBI;CALR;CD47;IL6ST	3.329787413282943e-05
