gene	role	axis	term	estimate	std_error_cluster_sample	p_cluster_sample	n_spots	n_clusters	padj_bh
SDC4	receptor	TNC_integrin_syndecan;THBS1_matrix_receptors	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.14498448645419912	0.1583396736545215	0.35984796515422635	22915	16	0.44243602273060617
SDC4	receptor	TNC_integrin_syndecan;THBS1_matrix_receptors	C(Condition, Treatment(reference='Skin'))[T.Wound30]	-0.7789486897802298	0.2575369469894855	0.0024895435543345183	22915	16	0.00814077958460378
SDC4	receptor	TNC_integrin_syndecan;THBS1_matrix_receptors	C(Condition, Treatment(reference='Skin'))[T.Wound7]	-0.13168701614725084	0.23822369645794936	0.5804091170864599	22915	16	0.6218669111640641
SERPINE1	ligand	SERPINE1_LRP1	C(Condition, Treatment(reference='Skin'))[T.Wound1]	1.231150877040757	0.1892150622029202	7.68595118731001e-11	22915	16	9.607438984137512e-10
SERPINE1	ligand	SERPINE1_LRP1	C(Condition, Treatment(reference='Skin'))[T.Wound30]	0.0849239377988507	0.11440554752176063	0.4579018862032659	22915	16	0.5203430525037112
SERPINE1	ligand	SERPINE1_LRP1	C(Condition, Treatment(reference='Skin'))[T.Wound7]	1.0931929562151255	0.29936774787177994	0.00026053806003210856	22915	16	0.0012212721564005089
TGFBR3	receptor	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound1]	-0.9029018551848742	0.27636222559753576	0.0010865692029542167	22915	16	0.004074634511078313
TGFBR3	receptor	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound30]	-0.3418646720677054	0.2819842703787056	0.22537701809229782	22915	16	0.3130236362393025
TGFBR3	receptor	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound7]	-0.90019739829664	0.329577052146904	0.006307131327476528	22915	16	0.018193648060028447
THBS1	ligand	THBS1_matrix_receptors	C(Condition, Treatment(reference='Skin'))[T.Wound1]	1.5393663473606176	0.3245483486372188	2.10468863495669e-06	22915	16	1.5785164762175175e-05
THBS1	ligand	THBS1_matrix_receptors	C(Condition, Treatment(reference='Skin'))[T.Wound30]	0.49891906794807594	0.36597273679233466	0.1727979366941852	22915	16	0.2591969050412778
THBS1	ligand	THBS1_matrix_receptors	C(Condition, Treatment(reference='Skin'))[T.Wound7]	1.1734076383932805	0.5695222597170012	0.03936635951359755	22915	16	0.09469978109546956
TNC	ligand	TNC_integrin_syndecan	C(Condition, Treatment(reference='Skin'))[T.Wound1]	1.769104360005498	0.23311407097328768	3.2236588339598276e-14	22915	16	8.059147084899569e-13
TNC	ligand	TNC_integrin_syndecan	C(Condition, Treatment(reference='Skin'))[T.Wound30]	1.4888644766117762	0.5914346187818177	0.011823191980602898	22915	16	0.03166926423375776
TNC	ligand	TNC_integrin_syndecan	C(Condition, Treatment(reference='Skin'))[T.Wound7]	2.0088663190467284	0.3196241673766896	3.2766605017979996e-10	22915	16	3.5107076804978566e-09
