condition	sample	feature	n_high	n_low	mean_high	mean_low	delta_high_minus_low
diabetic	10-d	WNT5A	11	6	1.6017186533321033	0.33962780237197876	1.2620908509601245
diabetic	10-d	ADAM12	11	6	0.5638024265115912	0.0	0.5638024265115912
diabetic	10-d	PTGS2	11	6	0.42732775482264435	0.1527079443136851	0.27461981050895923
diabetic	10-d	candidate_ligand_panel	11	6	1.1349933534860612	0.33451362252235417	0.8004797309637071
diabetic	13-d	TNC	529	43	2.2087255549002687	1.6847377100656198	0.5239878448346489
diabetic	13-d	IL11	529	43	1.0974384880077186	0.08957033794979717	1.0078681500579214
diabetic	13-d	IL6	529	43	0.9104454217651166	0.027128688124723212	0.8833167336403933
diabetic	13-d	INHBA	529	43	1.0774678136653395	0.43555618579997574	0.6419116278653638
diabetic	13-d	THBS1	529	43	1.7618421984304777	0.669234573841095	1.0926076245893828
diabetic	13-d	SERPINE1	529	43	0.9362307687788244	0.25718124661334724	0.6790495221654771
diabetic	13-d	CCL20	529	43	0.050580316996078636	0.0	0.050580316996078636
diabetic	13-d	WNT5A	529	43	1.401393264982786	0.47781741480494655	0.9235758501778395
diabetic	13-d	ADAM12	529	43	0.40080136145220363	0.0	0.40080136145220363
diabetic	13-d	PTGS2	529	43	0.6828263392407863	0.2778753444205883	0.404950994820198
diabetic	13-d	candidate_ligand_panel	529	43	1.05277515282196	0.39191015016200925	0.6608650026599507
diabetic	16-d	TNC	177	32	0.2760641371126229	0.22581345215439796	0.050250684958224934
diabetic	16-d	IL11	177	32	0.6658000318007281	0.0	0.6658000318007281
diabetic	16-d	IL6	177	32	1.6274718449445769	0.0	1.6274718449445769
diabetic	16-d	INHBA	177	32	1.8362231212483962	0.5401365160942078	1.2960866051541884
diabetic	16-d	THBS1	177	32	1.2258343418775979	0.07847525179386139	1.1473590900837365
diabetic	16-d	SERPINE1	177	32	0.4398840375370898	0.29916924238204956	0.14071479515504026
diabetic	16-d	CCL20	177	32	0.6910863870618034	0.053581736981868744	0.6375046500799346
diabetic	16-d	WNT5A	177	32	1.3708891444287057	0.8061314336955547	0.564757710733151
diabetic	16-d	ADAM12	177	32	0.8498881487859844	0.2747519090771675	0.5751362397088169
diabetic	16-d	PTGS2	177	32	0.35153142164992746	0.11156553030014038	0.23996589134978707
diabetic	16-d	candidate_ligand_panel	177	32	0.9334672616447431	0.23896250724792478	0.6945047543968184
non diabetic	19b-n	TNC	75	137	2.6453623469670613	1.8537744801409923	0.791587866826069
non diabetic	19b-n	IL11	75	137	0.6508003954092662	0.02665356040871056	0.6241468350005556
non diabetic	19b-n	IL6	75	137	0.3191187314192454	0.0	0.3191187314192454
non diabetic	19b-n	INHBA	75	137	0.8661917436122895	0.2433457222298114	0.622846021382478
non diabetic	19b-n	THBS1	75	137	1.8264795843760173	0.7332251322095411	1.0932544521664762
non diabetic	19b-n	SERPINE1	75	137	1.186668332417806	0.04836032251371954	1.1383080099040865
non diabetic	19b-n	CCL20	75	137	0.048291075428326925	0.015913354219311344	0.03237772120901558
non diabetic	19b-n	WNT5A	75	137	1.5538626233736674	1.5629668122660505	-0.00910418889238307
non diabetic	19b-n	ADAM12	75	137	0.2816895314057668	0.005424114039344509	0.2762654173664223
non diabetic	19b-n	PTGS2	75	137	0.31441534996032716	0.04536660352762598	0.26904874643270116
non diabetic	19b-n	candidate_ligand_panel	75	137	0.9692879714369773	0.45350301015551076	0.5157849612814666
non diabetic	19c-n	TNC	130	87	0.9808893274802428	1.0509395236256478	-0.07005019614540497
non diabetic	19c-n	IL11	130	87	1.4095846698834347	0.0	1.4095846698834347
non diabetic	19c-n	IL6	130	87	2.3396751357958867	0.19729935369272342	2.1423757821031635
non diabetic	19c-n	INHBA	130	87	1.184944685605856	0.22432865699132284	0.9606160286145332
