Condition	AnnoType	spots	high_spots	high_fraction	odds_ratio_high_spot_enrichment	p_fisher_greater	mean_SRRS	padj_bh
Wound30	Sebaceous_gland	62	5	0.08064516129032258	0.26107969648639506	0.9998547398823625	-0.37414643689070665	1.0
Wound30	Immune	562	71	0.12633451957295375	0.4107415468134832	0.9999999999999836	-0.14519615078216225	1.0
Wound30	FB2	1106	155	0.14014466546112117	0.44128671258008795	1.0	-0.07264720951751664	1.0
Wound30	Papillary_dermis	389	33	0.08483290488431877	0.2647067145363204	1.0	-0.2995210274134694	1.0
Wound30	Sweatgland_FB	678	76	0.11209439528023599	0.35159178883842845	1.0	-0.34400199811356535	1.0
Wound30	Dermis1	1065	18	0.016901408450704224	0.04209267639585434	1.0	-0.5614888932220325	1.0
Wound7	Wound_edges	821	420	0.5115712545676004	3.9668016027758286	1.1874809404535413e-68	1.0671435876302928	3.978061150519363e-67
Wound7	Immune_endo	825	287	0.3478787878787879	1.7411451879388682	7.865155393479123e-12	0.5802639314378074	4.7905946487554656e-11
Wound7	Basal_epi	182	87	0.47802197802197804	2.854124778237729	1.2156722758212944e-11	0.8912083818991533	6.787503540002227e-11
Wound7	Hair_follicle	68	38	0.5588235294117647	3.872233536999321	4.6535756031011996e-08	0.8116402891846648	2.2270683243412883e-07
Wound7	Sweat_gland	84	36	0.42857142857142855	2.2805084745762714	0.0002382570410960515	0.5451553598829981	0.0007981610876717724
Wound7	FB1	290	98	0.33793103448275863	1.568095364472753	0.00036596237907183675	0.4504954095314134	0.0011675942570387172
Wound7	Immune	520	143	0.275	1.152349263964509	0.09357822878707393	0.4340152095851054	0.2411438972589982
Wound7	Sebaceous_gland	56	17	0.30357142857142855	1.3111934919163835	0.216166578165929	0.008206620638361315	0.4994193357626635
Wound7	Suprabasal_epi	425	107	0.25176470588235295	1.0101529323227436	0.4850975395573432	0.29917996740425024	0.9559275044218234
Wound7	LE	114	28	0.24561403508771928	0.976305101224733	0.5797983041160828	0.19425665226593733	1.0
Wound7	Smooth_muscle	211	50	0.23696682464454977	0.9293387920296232	0.6973087330748136	0.3820220847715243	1.0
Wound7	Mast_cell	31	3	0.0967741935483871	0.3200786282682834	0.9916833629979921	-0.3997961031925085	1.0
Wound7	Dermis2	69	6	0.08695652173913043	0.2828666350261035	0.999867529203872	-0.19929236092525623	1.0
Wound7	Sweatgland_FB	497	80	0.16096579476861167	0.5518101242276618	0.9999997780117061	-0.09668099032912505	1.0
Wound7	FB2	519	23	0.04431599229287091	0.12580618062781823	1.0	-0.22095992827661187	1.0
Wound7	Dermis1	1096	77	0.07025547445255474	0.1851693691548172	1.0	-0.24029544584991752	1.0
Wound7	Papillary_dermis	236	11	0.046610169491525424	0.1404088888888889	1.0	-0.3030644930130459	1.0
