axis	Condition	Donor	ligand_receptor_spearman_rho	p_spearman	n_spots	mean_axis_score
INHBA_activin_TGF_family	Wound1	Donor2	0.11678840894252092	9.103373717453333e-07	1758	-0.06071820576368049
INHBA_activin_TGF_family	Wound1	Donor3	0.15371432277936467	2.0655145314389654e-08	1317	-0.00850523634006531
INHBA_activin_TGF_family	Wound1	Donor4	0.09604404655961425	0.00011465618918970117	1608	-0.03675775692736226
INHBA_activin_TGF_family	Wound30	Donor1	0.16060843940331693	7.763630159461593e-09	1278	-0.02849131144186795
INHBA_activin_TGF_family	Wound30	Donor2	0.17922985608266945	2.2489359067711728e-17	2205	0.151942619698466
INHBA_activin_TGF_family	Wound30	Donor3	0.06541178571005633	0.0032768769135170794	2019	-0.08500954289103349
INHBA_activin_TGF_family	Wound30	Donor4	0.10345920610627607	1.2428583118272213e-05	1777	0.05835434271433862
INHBA_activin_TGF_family	Wound7	Donor1	0.12908408466673113	1.0185445380993381e-07	1689	0.16768943889605387
INHBA_activin_TGF_family	Wound7	Donor2	0.15226080848965987	8.630187551786863e-10	1606	-0.0353549223665187
INHBA_activin_TGF_family	Wound7	Donor3	0.16306516749989108	1.2694249702190487e-10	1537	0.12412112742019522
INHBA_activin_TGF_family	Wound7	Donor4	0.20639530077717505	3.9795768452877404e-13	1212	0.22784175015271796
THBS1_matrix_receptors	Skin	Donor1	0.14431183199828782	3.74877906648971e-05	810	-0.19948737239272965
THBS1_matrix_receptors	Skin	Donor2	0.1567856835222449	4.853409507599438e-06	842	-0.11315920635567563
THBS1_matrix_receptors	Skin	Donor3	0.17600376805248533	3.5819937489625813e-06	685	-0.3914387284349491
THBS1_matrix_receptors	Skin	Donor4	0.1485870279741922	4.955491286046556e-05	740	-0.35666547075340616
THBS1_matrix_receptors	Wound1	Donor1	0.3058243863271814	5.780187490615914e-41	1832	-0.22995964244919936
THBS1_matrix_receptors	Wound1	Donor2	0.15142755315136383	1.7542195113951786e-10	1758	0.11591161781336308
THBS1_matrix_receptors	Wound1	Donor3	0.2922228461597877	2.424057874918587e-27	1317	-0.1854155002649696
THBS1_matrix_receptors	Wound1	Donor4	0.0482656730187464	0.0529816837501112	1608	0.15446690465534468
THBS1_matrix_receptors	Wound30	Donor1	0.2202168435019391	1.6818291958949017e-15	1278	-0.016230109489673628
THBS1_matrix_receptors	Wound30	Donor2	0.2742310786657336	2.4556355029175475e-39	2205	0.2683820003396555
THBS1_matrix_receptors	Wound30	Donor3	0.1414287715163678	1.7361598079496242e-10	2019	-0.19743179859352483
THBS1_matrix_receptors	Wound30	Donor4	0.2571260210856662	3.15964943595814e-28	1777	0.06573386445230821
THBS1_matrix_receptors	Wound7	Donor1	0.18553612575487985	1.515188843287211e-14	1689	0.12220600525472945
THBS1_matrix_receptors	Wound7	Donor2	0.25088576664159723	1.786276617638135e-24	1606	-0.23255303246832826
THBS1_matrix_receptors	Wound7	Donor3	0.010259563016726054	0.6877537102287725	1537	0.4098381659615812
THBS1_matrix_receptors	Wound7	Donor4	0.17140914491955075	1.904545924833674e-09	1212	0.20641430060449364
SERPINE1_LRP1	Skin	Donor1	0.008595383352734796	0.8070328459295849	810	-0.02158979299231499
SERPINE1_LRP1	Skin	Donor2	0.0003496481277025084	0.991916969048068	842	-0.034699323690134065
SERPINE1_LRP1	Skin	Donor3	0.08655898314713666	0.023477026408910015	685	-0.32603342593217643
SERPINE1_LRP1	Skin	Donor4	0.0577026613513362	0.11680286941687566	740	-0.2957368495035445
SERPINE1_LRP1	Wound1	Donor1	0.15998590136393842	5.680960529742603e-12	1832	-0.30137594042146265
SERPINE1_LRP1	Wound1	Donor2	0.05680438128853189	0.01722112116256306	1758	-0.036484199235375686
SERPINE1_LRP1	Wound1	Donor3	0.05905070218597536	0.03212800818015422	1317	-0.13824864859096855
SERPINE1_LRP1	Wound1	Donor4	0.06617577964787538	0.007942910986707769	1608	-0.01649187823962572
SERPINE1_LRP1	Wound30	Donor1	-0.03644432649200618	0.19291281077378294	1278	0.01982868004442069
SERPINE1_LRP1	Wound30	Donor2	-0.003526060162492583	0.8685651349139956	2205	0.28556062391665943
SERPINE1_LRP1	Wound30	Donor3	0.060641447879654815	0.006417685018716865	2019	-0.10192843709529166
SERPINE1_LRP1	Wound30	Donor4	0.06921098314133055	0.0035115558429044103	1777	0.0924696444382197
SERPINE1_LRP1	Wound7	Donor1	-0.0024890754895578898	0.9185827917656614	1689	0.2542699705686492
SERPINE1_LRP1	Wound7	Donor2	0.029342110374267802	0.23990651450646022	1606	-0.1733805781854699
SERPINE1_LRP1	Wound7	Donor3	0.03559846875332552	0.16303691932437994	1537	0.17308826543204958
SERPINE1_LRP1	Wound7	Donor4	0.015082306013502305	0.5998889026996248	1212	0.23362902275626737
CCL20_CCR6	Skin	Donor1			810	-0.07907528661751731
CCL20_CCR6	Skin	Donor2	-0.004317963755276583	0.9004366076379119	842	-0.02453780047539317
CCL20_CCR6	Skin	Donor3	-0.005720644743973691	0.8811974745876283	685	0.0038737836563916576
CCL20_CCR6	Skin	Donor4			740	-0.04211672089000938
CCL20_CCR6	Wound1	Donor1	-0.0032867582544842413	0.8881987795589746	1832	-0.052909070198494
CCL20_CCR6	Wound1	Donor2	-0.0026230915497898813	0.9124852850087803	1758	-0.04679623345980784
CCL20_CCR6	Wound1	Donor3	-0.00675458710251824	0.8065359198822534	1317	-0.01315114357730771
CCL20_CCR6	Wound1	Donor4	0.05865081476609568	0.018668442317298795	1608	0.1020888733257397
CCL20_CCR6	Wound30	Donor1	-0.00294500675220261	0.9162340722268107	1278	-0.048336121633595644
CCL20_CCR6	Wound30	Donor2	0.1028801371556357	1.291240555346384e-06	2205	-0.03762513322753605
CCL20_CCR6	Wound30	Donor3	0.17111903450438834	9.837251311787706e-15	2019	-0.02434138764710847
CCL20_CCR6	Wound30	Donor4	-0.0046879137398467855	0.8434530375151773	1777	-0.006128915051641013
CCL20_CCR6	Wound7	Donor1	-0.012484601017303473	0.6081434672292251	1689	0.06956313739515979
CCL20_CCR6	Wound7	Donor2	-0.0035421502184101263	0.8872053283539945	1606	-0.0431756926733468
CCL20_CCR6	Wound7	Donor3	-0.023082093527138327	0.36583194736983327	1537	0.14972403371027268
CCL20_CCR6	Wound7	Donor4	-0.01424186130971202	0.6203695317341039	1212	0.059470704707069236
