Donor	Condition	Sample_name	TNC_integrin_syndecan_axis_score	TNC_integrin_syndecan_ligand_score	TNC_integrin_syndecan_receptor_score	axis	IL11_gp130_axis_score	IL11_gp130_ligand_score	IL11_gp130_receptor_score	IL6_gp130_axis_score	IL6_gp130_ligand_score	IL6_gp130_receptor_score	INHBA_activin_TGF_family_axis_score	INHBA_activin_TGF_family_ligand_score	INHBA_activin_TGF_family_receptor_score	THBS1_matrix_receptors_axis_score	THBS1_matrix_receptors_ligand_score	THBS1_matrix_receptors_receptor_score	SERPINE1_LRP1_axis_score	SERPINE1_LRP1_ligand_score	SERPINE1_LRP1_receptor_score	CCL20_CCR6_axis_score	CCL20_CCR6_ligand_score	CCL20_CCR6_receptor_score
Donor3	Wound7	Donor3_Wound7				THBS1_matrix_receptors										0.4098381659615813	0.6960825442050378	0.12359378771812482						
Donor4	Skin	Donor4_Skin				THBS1_matrix_receptors										-0.35666547075340616	-0.5405291302782846	-0.1728018112285277						
Donor4	Wound1	Donor4_Wound1				THBS1_matrix_receptors										0.15446690465534468	0.36474245660851334	-0.05580864729782397						
Donor4	Wound30	Donor4_Wound30				THBS1_matrix_receptors										0.0657338644523082	-0.014601425828146332	0.14606915473276275						
Donor4	Wound7	Donor4_Wound7				THBS1_matrix_receptors										0.20641430060449364	0.1876017304824509	0.22522687072653633						
Donor1	Skin	Donor1_Skin				SERPINE1_LRP1													-0.021589792992314973	-0.36851893401085684	0.3253393480262268			
Donor1	Wound1	Donor1_Wound1				SERPINE1_LRP1													-0.30137594042146265	-0.07776941080964332	-0.524982470033282			
Donor1	Wound30	Donor1_Wound30				SERPINE1_LRP1													0.0198286800444207	-0.2680966162567113	0.3077539763455526			
Donor1	Wound7	Donor1_Wound7				SERPINE1_LRP1													0.2542699705686492	0.5645085903669137	-0.05596864922961531			
Donor2	Skin	Donor2_Skin				SERPINE1_LRP1													-0.03469932369013405	-0.32699803521478127	0.257599387834513			
Donor2	Wound1	Donor2_Wound1				SERPINE1_LRP1													-0.036484199235375665	0.3059865479192279	-0.3789549463899793			
Donor2	Wound30	Donor2_Wound30				SERPINE1_LRP1													0.28556062391665943	-0.04305727242807838	0.6141785202613972			
Donor2	Wound7	Donor2_Wound7				SERPINE1_LRP1													-0.1733805781854699	-0.2294872869300766	-0.1172738694408632			
Donor3	Skin	Donor3_Skin				SERPINE1_LRP1													-0.32603342593217643	-0.29295510852446993	-0.359111743339883			
Donor3	Wound1	Donor3_Wound1				SERPINE1_LRP1													-0.13824864859096855	0.2193321028659603	-0.4958294000478974			
Donor3	Wound30	Donor3_Wound30				SERPINE1_LRP1													-0.10192843709529166	-0.3373541967679524	0.13349732257736904			
Donor3	Wound7	Donor3_Wound7				SERPINE1_LRP1													0.17308826543204958	0.2526054401434344	0.09357109072066469			
Donor4	Skin	Donor4_Skin				SERPINE1_LRP1													-0.2957368495035445	-0.34725537567230164	-0.2442183233347874			
Donor4	Wound1	Donor4_Wound1				SERPINE1_LRP1													-0.01649187823962571	0.26260175072701336	-0.2955855072062648			
Donor4	Wound30	Donor4_Wound30				SERPINE1_LRP1													0.09246964443821971	-0.16097916777344248	0.34591845664988186			
Donor4	Wound7	Donor4_Wound7				SERPINE1_LRP1													0.2336290227562674	0.2941377905293575	0.1731202549831772			
Donor1	Skin	Donor1_Skin				CCL20_CCR6																-0.07907528661751731	-0.05778403574645177	-0.10036653748858283
Donor1	Wound1	Donor1_Wound1				CCL20_CCR6																-0.052909070198493995	-0.015232656410647732	-0.09058548398634025
Donor1	Wound30	Donor1_Wound30				CCL20_CCR6																-0.04833612163359563	-0.046030664512009295	-0.05064157875518197
Donor1	Wound7	Donor1_Wound7				CCL20_CCR6																0.06956313739515979	0.013114118732719563	0.1260121560576
Donor2	Skin	Donor2_Skin				CCL20_CCR6																-0.024537800475393168	-0.039944595796787295	-0.009131005153999047
Donor2	Wound1	Donor2_Wound1				CCL20_CCR6																-0.04679623345980783	-0.04835327056922154	-0.04523919635039411
Donor2	Wound30	Donor2_Wound30				CCL20_CCR6																-0.037625133227536044	-0.0385173453701793	-0.036732921084892775
Donor2	Wound7	Donor2_Wound7				CCL20_CCR6																-0.04317569267334678	-0.03689555227418083	-0.04945583307251276
Donor3	Skin	Donor3_Skin				CCL20_CCR6																0.003873783656391656	-0.03195552772231681	0.03970309503510011
Donor3	Wound1	Donor3_Wound1				CCL20_CCR6																-0.0131511435773077	0.018665061173726162	-0.04496734832834155
Donor3	Wound30	Donor3_Wound30				CCL20_CCR6																-0.024341387647108463	-0.05013609714304139	0.001453321848824456
Donor3	Wound7	Donor3_Wound7				CCL20_CCR6																0.14972403371027268	0.20782827700330458	0.09161979041724079
Donor4	Skin	Donor4_Skin				CCL20_CCR6																-0.042116720890009375	-0.05778403574645177	-0.026449406033566984
Donor4	Wound1	Donor4_Wound1				CCL20_CCR6																0.1020888733257397	0.11875906827729878	0.08541867837418063
Donor4	Wound30	Donor4_Wound30				CCL20_CCR6																-0.006128915051641003	-0.033602995026722295	0.021345164923440286
Donor4	Wound7	Donor4_Wound7				CCL20_CCR6																0.059470704707069236	0.05348237388412367	0.0654590355300148
